iter	Logloss
343	0.1547587265
344	0.1545061221
345	0.1542190386
346	0.1541105885
347	0.1540497784
348	0.1538824389
349	0.153783659
350	0.153619392
351	0.1534696487
352	0.1533463624
353	0.1531164008
354	0.1528956047
355	0.1526805575
356	0.1525305048
357	0.1523806341
358	0.1521777326
359	0.1519797399
360	0.151655972
361	0.1515418151
362	0.1513910951
363	0.1513106796
364	0.151162015
365	0.1510368952
366	0.1508294465
367	0.1506642996
368	0.1505019094
369	0.1503875421
370	0.1502794123
371	0.1500945961
372	0.149904335
373	0.1497262388
374	0.1495685073
375	0.149390876
376	0.149251054
377	0.1491318925
378	0.1489997298
379	0.148884291
380	0.1487749513
381	0.1486058266
382	0.1484686702
383	0.1483895967
384	0.1482253014
385	0.1480832022
386	0.1479270592
387	0.1477932132
388	0.1476840041
389	0.1475127743
390	0.1473415209
391	0.1472466631
392	0.1471332141
393	0.1470763366
394	0.146963509
395	0.1467848064
396	0.1465776788
397	0.1463963133
398	0.1463232523
399	0.1462577899
400	0.1461709246
401	0.146028785
402	0.145857752
403	0.1457223518
404	0.1456344919
405	0.1454913498
406	0.1453632234
407	0.1452373327
408	0.14512454
409	0.1449973932
410	0.1448231888
411	0.1446706966
412	0.1445789768
413	0.1444888211
414	0.1443530343
415	0.1442967223
416	0.1441611535
417	0.1440453519
418	0.1439168216
419	0.1438033025
420	0.14371619
421	0.1436186829
422	0.1435020948
423	0.1432950939
424	0.1432011462
425	0.1430481659
426	0.142897021
427	0.1427220732
428	0.1425730932
429	0.1424686975
430	0.1423232722
431	0.1421685226
432	0.1421080827
433	0.1419932657
434	0.1418414423
435	0.1417159099
436	0.141520482
437	0.1414337792
438	0.1413854882
439	0.1412588476
440	0.1411418764
441	0.1410130317
442	0.1408477854
443	0.1407442283
444	0.140622313
445	0.1405620856
446	0.1404660571
447	0.1402882182
448	0.1401404809
449	0.139973078
450	0.1398327052
451	0.1397420676
452	0.1395657913
453	0.1393061361
454	0.1391634795
455	0.1390712777
456	0.1388368605
457	0.1386946729
458	0.1385940316
459	0.138404183
460	0.1382462378
461	0.1381451458
462	0.1379784039
463	0.1378114079
464	0.1376953637
465	0.1375237654
466	0.1374370425
467	0.1372638843
468	0.1371742427
469	0.1371159606
470	0.1369976481
471	0.1368451071
472	0.1367675324
473	0.1366122047
474	0.1364723829
475	0.1363467795
476	0.1360682805
477	0.1359420571
478	0.1357664323
479	0.1356573956
480	0.1355940099
481	0.1355082912
482	0.1353667859
483	0.1352602165
484	0.1351294816
485	0.1349729073
486	0.1347963811
487	0.1346474863
488	0.1345955683
489	0.1344223665
490	0.1342356907
491	0.134115722
492	0.1339940861
493	0.1339257153
494	0.1337875067
495	0.1336498378
496	0.1334855778
497	0.1333310747
498	0.1332068387
499	0.1330756733
500	0.1329655193
501	0.1328526895
502	0.1327423656
503	0.1326546928
504	0.1325582938
505	0.1324836137
506	0.1323520783
507	0.1322055551
508	0.1320708589
509	0.1319816039
510	0.1318826983
511	0.1317152804
512	0.1316360002
513	0.1315648174
514	0.13129152
515	0.1312092866
516	0.1310929905
517	0.1309020663
518	0.1306733891
519	0.1305669954
520	0.1304512703
521	0.130372874
522	0.130265638
523	0.1301673255
524	0.1300603006
525	0.1299819595
526	0.1298517554
527	0.1297280025
528	0.1296553888
529	0.1295580985
530	0.1294766155
531	0.1293882637
532	0.1292778439
533	0.1291904668
534	0.1291224789
535	0.1290637334
536	0.1289108343
537	0.128845763
538	0.1287112996
539	0.1285908448
540	0.1284262867
541	0.1282464591
542	0.1281604648
543	0.1280492686
544	0.1279736352
545	0.1278306447
546	0.1277176801
547	0.1276607475
548	0.127568878
549	0.1274764234
550	0.1273406897
551	0.1272756748
552	0.1271439842
553	0.1270399331
554	0.1269264917
555	0.1268135234
556	0.126743087
557	0.1265613584
558	0.1263552382
559	0.1262006364
560	0.1259995733
561	0.125937456
562	0.1257253774
563	0.1255917477
564	0.1255214005
565	0.1253300176
566	0.1252562221
567	0.1251516708
568	0.125055406
569	0.1249987757
570	0.1248022226
571	0.124642367
572	0.1245546542
573	0.1244678399
574	0.1243859381
575	0.124232703
576	0.1241543681
577	0.1240090963
578	0.1238474322
579	0.1237763441
580	0.1236766392
581	0.1235404097
582	0.1234063528
583	0.1233094939
584	0.1231736058
585	0.1230292047
586	0.1229471248
587	0.1228607397
588	0.1227650024
589	0.1226977548
590	0.1225781478
591	0.1224918442
592	0.1223896537
593	0.1222709183
594	0.1221623445
595	0.1220223047
596	0.1219256116
597	0.1218059368
598	0.1215944345
599	0.1214704785
600	0.1213784696
601	0.1212341478
602	0.1210678229
603	0.120963589
604	0.120916248
605	0.1207683605
606	0.1207108457
607	0.12057284
608	0.1204446158
609	0.1203130399
610	0.1202310696
611	0.1201591319
612	0.1200743202
613	0.1199415199
614	0.1198001629
615	0.1197250153
616	0.11962839
617	0.1195552378
618	0.1194311218
619	0.1192427811
620	0.1191776366
621	0.1191180497
622	0.119069401
623	0.1189639845
624	0.1187706409
625	0.1186659938
626	0.1185793993
627	0.1185282146
628	0.1184240239
629	0.1183008245
630	0.118253657
631	0.1181498433
632	0.1180637185
633	0.1179265466
634	0.117810137
635	0.1177121355
636	0.1176185167
637	0.1175646099
638	0.1174133002
639	0.1173044106
640	0.1172221996
641	0.117156915
642	0.1170685359
643	0.1169250444
644	0.1167828714
645	0.1166825238
646	0.1166022557
647	0.116413051
648	0.1163137557
649	0.1161937972
650	0.1161303169
651	0.1160583029
652	0.1159317263
653	0.1158202619
654	0.1157187976
655	0.115638872
656	0.1155795738
657	0.1155214796
658	0.1153734794
659	0.1152383237
660	0.1151702975
661	0.1149675059
662	0.1148081757
663	0.1147054151
664	0.1146108143
665	0.1145051016
666	0.1144417307
667	0.1143537882
668	0.1142494359
669	0.1141626257
670	0.1140266676
671	0.1139564065
672	0.1138922106
673	0.1137920655
674	0.1137126879
675	0.1135894085
676	0.1134983715
677	0.1134561151
678	0.1134014887
679	0.1133486147
680	0.1132327453
681	0.1131401936
682	0.1128609481
683	0.1127980316
684	0.1127098507
685	0.1126367501
686	0.112570521
687	0.1124563486
688	0.1123477102
689	0.1122548918
690	0.1121666754
691	0.1120743499
692	0.1119629401
693	0.1118619147
694	0.1117616701
695	0.1117057484
696	0.1116122442
697	0.1114635803
698	0.1113788898
699	0.1112788429
700	0.1111916539
701	0.1110330094
702	0.1109898914
703	0.1108955641
704	0.1108419622
705	0.1108041595
706	0.1106962645
707	0.11055782
708	0.110387172
709	0.1103021065
710	0.1102704319
711	0.1101792327
712	0.1100412653
713	0.1099944079
714	0.1098854528
715	0.1098289902
716	0.1096603939
717	0.109575663
718	0.1095228891
719	0.1094367161
720	0.1093179249
721	0.1092464262
722	0.1091632796
723	0.1091221351
724	0.1089038074
725	0.1087968444
726	0.1087565047
727	0.1085979837
728	0.1085768532
729	0.1085206649
730	0.1083910947
731	0.1083414404
732	0.1082386261
733	0.1080156891
734	0.1079355777
735	0.1078670254
736	0.1077816532
737	0.1076793328
738	0.1076126855
739	0.1075252442
740	0.107443664
741	0.1074047997
742	0.10736503
743	0.1072727561
744	0.107220621
745	0.1071767497
746	0.107081523
747	0.106995609
748	0.1069377719
749	0.1068821163
750	0.1067653546
751	0.1066746121
752	0.1065768572
753	0.1064513604
754	0.1063715609
755	0.1062603817
756	0.1062193883
757	0.1061850703
758	0.1061181616
759	0.106067421
760	0.1059489321
761	0.1059202068
762	0.1057441058
763	0.1056780599
764	0.1055710083
765	0.1054934904
766	0.1054404397
767	0.1053558619
768	0.1053007213
769	0.1051726434
770	0.1051173305
771	0.1050706294
772	0.1050464799
773	0.1050263623
774	0.1049449186
775	0.1048663415
776	0.104835625
777	0.1047821746
778	0.1046806414
779	0.1045551038
780	0.1045002361
781	0.1043814702
782	0.1042226739
783	0.1041911812
784	0.1040101596
785	0.1039843829
786	0.1039331471
787	0.1038593605
788	0.1037449288
789	0.1036671254
790	0.1035773494
791	0.1034202543
792	0.1032512997
793	0.1031864841
794	0.1030404796
795	0.1029380681
796	0.1028736982
797	0.1028064943
798	0.1027209989
799	0.1026149235
800	0.1025391954
801	0.1024462549
802	0.1023521541
803	0.102282987
804	0.1022458802
805	0.102150499
806	0.1021037509
807	0.1020574568
808	0.1019786762
809	0.1018661008
810	0.1017958072
811	0.1017614113
812	0.1017006616
813	0.101645588
814	0.1015076073
815	0.1014546364
816	0.1014109223
817	0.1013967357
818	0.1013853501
819	0.1012824753
820	0.1012646753
821	0.1011879723
822	0.1010131802
823	0.1008565518
824	0.1007521253
825	0.1007001831
826	0.1005369952
827	0.1004798954
828	0.1003779512
829	0.1003238228
830	0.1002662278
831	0.1001860398
832	0.1001011235
833	0.1000666919
834	0.09989450477
835	0.09984534737
836	0.09975688618
837	0.09972088838
838	0.09961015497
839	0.09949764955
840	0.09943458958
841	0.09933283206
842	0.09930355094
843	0.09923319482
844	0.09920811353
845	0.09911317016
846	0.0990902519
847	0.09895118569
848	0.09887806493
849	0.09878821882
850	0.0986880348
851	0.09855943019
852	0.09847088222
853	0.09841919704
854	0.09830399271
855	0.0982460983
856	0.09819146024
857	0.09816960143
858	0.09808641482
859	0.09800107242
860	0.09795008205
861	0.09788048598
862	0.09782106976
863	0.09772149818
864	0.09766566521
865	0.09757414925
866	0.09747666677
867	0.09742274287
868	0.09737039536
869	0.09731058327
870	0.09728424842
871	0.0972699307
872	0.09722024796
873	0.09715490334
874	0.09709526204
875	0.09704548365
876	0.09702236072
877	0.09697927115
878	0.09694266766
879	0.09685860381
880	0.0967944661
881	0.09669698913
882	0.09657885523
883	0.09650059929
884	0.0964558321
885	0.09637977431
886	0.09632926512
887	0.09630289845
888	0.09627587405
889	0.09621820043
890	0.09614542243
891	0.09609126433
892	0.09607274191
893	0.09599168663
894	0.09589615874
895	0.09580731386
896	0.09572614916
897	0.09570834787
898	0.09561155929
899	0.09556032121
900	0.09550932637
901	0.09536336965
902	0.0953262802
903	0.09522258623
904	0.09517262598
905	0.09514907786
906	0.09513511562
907	0.09507025347
908	0.09491813801
909	0.09490592291
910	0.09486412782
911	0.0948442985
912	0.09480364146
913	0.09479111721
914	0.09469186807
915	0.09462650068
916	0.09460681701
917	0.09455015509
918	0.09449558324
919	0.09443951375
920	0.0944207031
921	0.09423834067
922	0.09415718625
923	0.09408034914
924	0.09403955894
925	0.0939861536
926	0.09388738846
927	0.09379463213
928	0.09366367044
929	0.09363019907
930	0.09349839172
931	0.09344560557
932	0.09331886118
933	0.09330820535
934	0.0932604706
935	0.09321207053
936	0.09317201902
937	0.09311128911
938	0.09306567149
939	0.09301405594
940	0.09299678326
941	0.09298639266
942	0.09289899591
943	0.09284861364
944	0.09275941743
945	0.0926669191
946	0.09253765052
947	0.09248345179
948	0.09230628224
949	0.09215479661
950	0.09212909446
951	0.09207852598
952	0.09206134014
953	0.09200554756
954	0.09195731993
955	0.09183457512
956	0.09180235465
957	0.09175226827
958	0.09169874048
959	0.09167329046
960	0.09153291375
961	0.09141723839
962	0.09135844765
963	0.09130985848
964	0.09123288881
965	0.09116121386
966	0.09111620954
967	0.09096933042
968	0.09085405191
969	0.09077949623
970	0.09072342723
971	0.09065331344
972	0.09052854997
973	0.09042925646
974	0.09039110814
975	0.09035992218
976	0.09026967488
977	0.09023307181
978	0.0901181775
979	0.0900911575
980	0.09004402155
981	0.08989339651
982	0.08978095436
983	0.08974582128
984	0.08970008873
985	0.08966695718
986	0.08955011684
987	0.08942564777
988	0.08931320092
989	0.08929194146
990	0.08924153839
991	0.08920690888
992	0.0891087751
993	0.0890662768
994	0.08899256911
995	0.08895344044
996	0.08892719457
997	0.08880610632
998	0.08875605537
999	0.08864783292
2
995	0.0780112241
996	0.07798036829
997	0.07783220975
998	0.07774754796
999	0.07773756608
